Epoch,Time (s),Train Loss,Test Loss,BIC
1,63.729934215545654,580.4208728969097,44.05922317504883,88.11844635009766
2,127.29509210586548,65.90000868961215,7.687956999987364,15.375913999974728
3,191.35401821136475,7.193508154246956,0.8713007699116133,1.7426015398232266
4,255.11297011375427,1.9556281782497535,0.6185240848135436,1.2370481696270872
5,318.7778170108795,1.5281259543990018,0.5151423150236951,1.0302846300473902
6,382.49114418029785,1.335342751328426,0.4647974552062806,0.9295949104125611
7,446.154972076416,1.2186502599797677,0.41115791887568776,0.8223158377513755
8,509.82949113845825,1.1566467366792494,0.38519951651687734,0.7703990330337547
9,573.5085220336914,1.125449274397397,0.38637384001049213,0.7727476800209843
10,637.2150130271912,1.109293876143056,0.3543001679790905,0.708600335958181
11,701.0303311347961,1.1200981518340996,0.3607415381120518,0.7214830762241036
12,764.782210111618,1.108771878920379,0.34914125947398134,0.6982825189479627
13,828.6535491943359,1.156639573564462,0.33162128122057766,0.6632425624411553
14,892.4335911273956,1.0934846603195183,0.47110396216157824,0.9422079243231565
15,956.3725302219391,1.2651956970512401,0.34162668632052373,0.6832533726410475
16,1020.3192670345306,1.0701381239268812,0.42523907183203846,0.8504781436640769
17,1084.1545670032501,1.2050701924745226,0.3289554782677442,0.6579109565354884
18,1148.0222861766815,1.1722849004581803,0.4170535373268649,0.8341070746537298
19,1212.0385410785675,1.1325919793598587,0.4224790732841939,0.8449581465683877
20,1275.9519941806793,1.1606668498934596,0.3279096513724653,0.6558193027449306
21,1339.9409821033478,1.3426277131511597,0.9397332166554406,1.8794664333108813
22,1403.885264158249,1.3106927665648982,0.3171091753465589,0.6342183506931178
23,1467.8746981620789,1.240492530472693,0.324987105675973,0.649974211351946
24,1531.924782037735,1.0994833843869856,0.40476644929731265,0.8095328985946253
25,1596.5470480918884,1.2369150617305422,0.35283829062245786,0.7056765812449157
26,1661.447098016739,1.0932382699320442,0.3980162356165238,0.7960324712330475
27,1726.244196176529,1.0935019274184015,0.31779048332828097,0.6355809666565619
28,1791.102390050888,1.1814688505764934,0.31510792936751386,0.6302158587350277
29,1855.9134061336517,1.144922225168557,0.35273195247282274,0.7054639049456455
30,1920.9065940380096,1.2131271070247749,0.5617970629828051,1.1235941259656101
31,1985.8028810024261,1.1276535452416283,0.35218584671383724,0.7043716934276745
32,2050.779133081436,1.1240785108384443,0.32576288396376185,0.6515257679275237
33,2115.711142063141,1.151411923536216,0.31812122429255396,0.6362424485851079
34,2180.6127150058746,1.3322509645222453,0.3304575648653554,0.6609151297307108
35,2245.549164056778,1.108444992438308,0.5973226181231439,1.1946452362462878
36,2310.3569600582123,1.409619922778802,0.34445951611269265,0.6889190322253853
37,2375.3467240333557,1.190381843756768,0.3598196959355846,0.7196393918711692
38,2440.223874092102,1.1369933291716734,0.3444284250435885,0.688856850087177
39,2505.1871190071106,1.1110179851893918,0.33849557873327285,0.6769911574665457
40,2570.0682561397552,1.1984211126546143,0.3102673121757107,0.6205346243514214
41,2635.093950033188,1.1020513447729172,0.3305764560645912,0.6611529121291824
42,2700.1037092208862,1.1381848622040707,0.3740284943487495,0.748056988697499
43,2765.158002138138,1.122004157761694,0.3182326412934344,0.6364652825868689
44,2830.062726020813,1.196475474323961,0.34252425355953164,0.6850485071190633
45,2895.124311208725,1.2388135156070348,0.32648902107030153,0.6529780421406031
46,2960.155036211014,1.2255979793844745,0.34763168075005524,0.6952633615001105
47,3025.0472691059113,1.1953859899986128,0.35910588497063145,0.7182117699412629
48,3090.103523015976,1.2255186173279071,0.3165333730139537,0.6330667460279074
49,3155.129629135132,1.2323441614353214,0.3211207808490144,0.6422415616980288
50,3220.1394531726837,1.213846310347435,0.3577193961245939,0.7154387922491878
