Epoch,Time (s),Train Loss,Test Loss,BIC
1,27.49811887741089,1026.4940701831108,223.32935987774087,788366.3020068185
2,54.67833089828491,705.5721325605383,217.96135356456108,788355.5659941921
3,82.85823607444763,678.9009451543109,211.87318320571413,788343.3896534744
4,111.49918699264526,657.6568770932687,201.3061084501902,788322.2555039633
5,139.64997005462646,560.317856758326,163.26480301431988,788246.1728930917
6,167.8094038963318,446.3107267146422,160.42710504379832,788240.4974971506
7,195.85246086120605,419.9881819350463,140.16570282064785,788199.9746927043
8,223.8935489654541,412.21850251495164,140.06934468745743,788199.7819764379
9,251.95783805847168,414.8377948766085,153.43809868967654,788226.5194844423
10,280.06641387939453,415.3445684115446,163.62631532600585,788246.895917715
11,308.06448698043823,397.20806990481543,172.24741747470915,788264.1381220124
12,336.14738392829895,396.57183523900716,176.06428936870316,788271.7718658004
13,364.19841599464417,413.35518286734305,147.96911903075116,788215.5815251245
14,392.1943838596344,400.4774093318738,138.79674530512025,788197.2367776732
15,420.25858783721924,399.55163730673024,132.80819161095172,788185.2596702849
16,448.2491819858551,406.9676817789855,131.0363399957205,788181.7159670545
17,476.32261204719543,399.1288506721869,133.76505358922174,788187.1733942415
18,504.20686984062195,390.40485320682717,138.37521918935278,788196.3937254417
19,532.3514268398285,404.75632671958834,127.94242330226473,788175.5281336675
20,560.4476590156555,399.58626700107874,129.99345035548086,788179.630187774
21,588.5867578983307,397.5734102224916,129.92962556275572,788179.5025381885
22,616.6528968811035,404.3268255556399,136.13567144216844,788191.9146299473
23,644.7837400436401,403.01259654615643,134.76576432723192,788189.1748157175
24,672.9318969249725,389.28921546774876,146.42953125502788,788212.5023495731
25,700.8530988693237,395.27420820065976,127.282034065435,788174.2073551939
26,728.9271378517151,392.91640172107424,134.3753640308925,788188.3940151248
27,756.9146950244904,401.4479779997914,128.99338830820685,788177.6300636794
28,784.9165668487549,396.3719402723976,138.74856590383445,788197.1404188706
29,812.7202849388123,391.05220144499174,131.4631655789385,788182.5696182209
30,840.729856967926,395.7557395292374,157.31840772480464,788234.2801025126
31,868.7418749332428,401.1193879680785,127.84490144599522,788175.333089955
32,896.4122848510742,399.8425455743709,149.88924303018325,788219.4217731233
33,924.1013810634613,393.89925638885853,150.93777316662886,788221.5188333963
34,952.0445849895477,412.39880224328806,128.50564070210578,788176.6545684672
35,980.0720360279083,402.20493347365124,153.64709698057922,788226.9374810242
36,1008.0959689617157,396.8535566903197,229.71667990589867,788379.0766468748
37,1036.0603430271149,394.119065431254,126.79381514563025,788173.2309173542
38,1064.0244710445404,395.07797105244845,127.82680317243161,788175.2968934078
39,1091.9181480407715,399.78329691823774,128.43829401804774,788176.5198750991
40,1119.8998339176178,400.3639170006994,126.50683167691031,788172.6569504169
41,1147.9320030212402,391.69825660687724,129.03691955828074,788177.7171261796
42,1175.9745638370514,397.47240205826824,128.60898907831637,788176.8612652196
43,1203.4840428829193,397.2688521749857,139.6675704895663,788198.9784280421
44,1230.969516992569,394.9400470122417,130.15385947488969,788179.9510060127
45,1258.7376379966736,391.0879289366802,133.19336870476585,788186.0300244725
46,1286.2793588638306,391.2966231316898,131.61575889714123,788182.8748048573
47,1313.9313139915466,398.107076296418,129.4868488939036,788178.6169848508
48,1341.5938789844513,397.8637399667115,132.62283441423563,788184.8889558915
49,1369.119483947754,400.9824324237841,128.3690405037492,788176.3813680705
50,1396.4474189281464,397.17073672458883,129.95746787021864,788179.5582228034
