Epoch,Time (s),Train Loss,Test Loss,BIC
1,8.272198915481567,1009.3202178156979,273.641771701771,435045.3713122684
2,16.659681797027588,734.5932763024991,226.7615295795795,434951.61082802404
3,25.028301000595093,768.5608465742185,309.6620125893134,435117.4117940435
4,33.35294198989868,756.321459196803,240.12535833835153,434978.3384855416
5,41.70860290527344,729.234415223378,236.65942114905272,434971.406611163
6,50.03015494346619,729.8190166599044,236.2381867758872,434970.56414241664
7,58.35411095619202,727.6519695490617,236.23996991206923,434970.567708689
8,66.64595580101013,728.6222141603002,236.2381867758872,434970.56414241664
9,74.9655499458313,728.1930039262666,236.2381867758872,434970.56414241664
10,83.28407001495361,727.5363290193552,236.2381867758872,434970.56414241664
11,91.60378289222717,730.4159791356317,236.26227942034023,434970.61232770554
12,99.90701580047607,727.7747285996581,236.26227942034023,434970.61232770554
13,108.19813084602356,727.870749385117,236.26227942034023,434970.61232770554
14,116.54543280601501,726.870369742428,236.26227942034023,434970.61232770554
15,124.89485001564026,728.291775853394,236.26227942034023,434970.61232770554
16,133.21950888633728,729.5613348420633,236.26227942034023,434970.61232770554
17,141.4649748802185,725.8555324701305,236.26227942034023,434970.61232770554
18,149.75439882278442,729.607754654648,236.26227942034023,434970.61232770554
19,158.15387392044067,729.0810256088362,236.26227942034023,434970.61232770554
20,166.47133779525757,727.067562014817,236.26227942034023,434970.61232770554
21,174.7897880077362,728.5405851575773,236.26227942034023,434970.61232770554
22,183.08843183517456,728.506476660011,236.26227942034023,434970.61232770554
23,191.3959457874298,728.9174184371288,236.26227942034023,434970.61232770554
24,199.67200684547424,727.1635153973685,236.26227942034023,434970.61232770554
25,207.91831183433533,729.3933140171853,236.26227942034023,434970.61232770554
26,216.29051280021667,727.2131024903573,236.26227942034023,434970.61232770554
27,224.6778109073639,728.5614915348209,236.26227942034023,434970.61232770554
28,233.07252097129822,727.2750493297566,236.26227942034023,434970.61232770554
29,241.43889379501343,727.6672023916826,236.26227942034023,434970.61232770554
30,249.7707498073578,726.3717376277857,236.26227942034023,434970.61232770554
31,258.1450958251953,728.4940916516438,236.26227942034023,434970.61232770554
32,266.39647483825684,725.7654564949291,236.26227942034023,434970.61232770554
33,274.6610918045044,728.7670790830236,236.26227942034023,434970.61232770554
34,282.90160393714905,728.186606307478,236.26227942034023,434970.61232770554
35,291.2528178691864,727.5870307395446,236.26227942034023,434970.61232770554
36,299.5237948894501,729.7285500911123,236.26227942034023,434970.61232770554
37,307.8664197921753,727.193539634969,236.02967205874913,434970.14711298235
38,316.13903999328613,728.0954937497365,235.56995189114826,434969.22767264716
39,324.40740394592285,727.9941584441741,235.62969327226014,434969.3471554094
40,332.7677409648895,727.5786102572667,235.57176235103242,434969.23129356693
41,341.08666586875916,727.8187909240077,235.49387991239536,434969.07552868966
42,349.5290539264679,729.0227050764231,235.5052542562401,434969.0982773774
43,357.83629083633423,727.5134538421621,235.49093424560863,434969.0696373561
44,366.12751293182373,728.545270795209,235.59838919783962,434969.28454726055
45,374.4467899799347,728.029625632016,235.5844293384214,434969.25662754173
46,382.79272985458374,729.9816666029233,235.73077015111255,434969.5493091671
47,391.146155834198,726.0528844157448,235.48941817866074,434969.0666052222
48,399.48168992996216,729.1460052042286,235.58552050684347,434969.25880987855
49,407.82628989219666,729.9974594721781,235.58130305782186,434969.2503749805
50,416.1436347961426,726.500014579669,235.67656807677508,434969.4409050184
