Epoch,Time (s),Train Loss,Test Loss,BIC
1,4.983586072921753,2678.452376273908,288.1168466103659,5.572918632972594e6
2,9.92254114151001,984.6533213855174,249.0641840119052,5.5728405276473975e6
3,14.737007141113281,786.4405000671754,228.81318436131147,5.572800025648097e6
4,19.47017812728882,806.6081710240785,231.18255799674117,5.572804764395367e6
5,24.32407808303833,735.9557686044246,222.63643557345284,5.572787672150521e6
6,29.245110988616943,734.4815556792645,237.86574234681285,5.572818130764067e6
7,34.02150011062622,738.1196720272616,225.5743558604184,5.572793547991094e6
8,38.959206104278564,735.8315094310988,236.54035854373743,5.572815479996461e6
9,43.8039071559906,736.4011043316724,226.53929492723694,5.572795477869228e6
10,48.671005964279175,738.080602152993,226.32757281242442,5.572795054424998e6
11,53.53544998168945,726.7733438149473,223.66305020090414,5.572789725379775e6
12,58.46934509277344,723.2337540761112,246.8494896309485,5.572836098258636e6
13,63.3139750957489,717.6678953223229,225.92603948287493,5.57279425135834e6
14,68.23903512954712,715.6589604430307,223.10829101127442,5.572788615861396e6
15,73.19371819496155,716.3716024638363,223.3282846022427,5.572789055848578e6
16,78.08860516548157,720.9642124817393,239.95775770735153,5.572822314794788e6
17,83.00118613243103,734.4953927040839,224.05009479272348,5.572790499468959e6
18,87.87825608253479,727.4044036880429,223.3832738383936,5.572789165827051e6
19,92.77873396873474,718.026115864538,222.84074652946921,5.5727880807724325e6
20,97.6943531036377,713.7023433583399,223.61775469205364,5.572789634788758e6
21,102.49100708961487,715.224505514453,223.521157380183,5.572789441594134e6
22,107.42249798774719,718.1389347716931,223.2391154957493,5.572788877510365e6
23,112.28898501396179,714.2113268134834,222.7298370816647,5.572787858953537e6
24,117.20683717727661,716.4415752892231,222.75013810151663,5.572787899555577e6
25,122.01382303237915,716.9609343752524,222.6181234210985,5.572787635526216e6
26,126.91329407691956,714.7210828612431,223.971610913087,5.5727903425012e6
27,131.8291220664978,720.3825137277055,228.7503176286647,5.572799899914631e6
28,136.81940007209778,720.2629721148546,225.23201629611825,5.572792863311966e6
29,141.65287518501282,715.9582690808244,225.14133651733337,5.5727926819524085e6
30,146.52444005012512,722.7670654462182,222.89017328999734,5.572788179625954e6
31,151.50200414657593,713.4635113913015,222.8893115107441,5.572788177902395e6
32,156.4009289741516,710.1322829794568,224.6887657626579,5.572791776810899e6
33,161.23603916168213,715.6750909401993,222.60883590332588,5.572787616951181e6
34,166.15224313735962,712.5042374055687,223.6649578671664,5.572789729195108e6
35,171.0373821258545,717.8467703928517,223.21505466672068,5.572788829388707e6
36,175.936017036438,711.9192244887233,223.8614138554773,5.572790122107085e6
37,180.79127502441406,712.9859622238873,227.74029477261826,5.572797879868919e6
38,185.70836114883423,714.724106942087,223.12061155142217,5.572788640502476e6
39,190.55020713806152,711.2240948436552,225.1755224552153,5.572792750324284e6
40,195.4362530708313,715.7255051800125,227.42895495673676,5.572797257189287e6
41,200.348384141922,712.0147594290637,222.6153319461586,5.572787629943266e6
42,205.25326800346375,717.6154414342635,223.04626704009826,5.572788491813454e6
43,210.21039414405823,716.7550555421044,222.7035654684539,5.572787806410311e6
44,215.04474902153015,713.4859829421764,223.03428807536642,5.572788467855524e6
45,219.864825963974,710.951081045676,224.22610262516935,5.572790851484624e6
46,224.8040931224823,714.7082419439536,224.49770731831143,5.572791394694011e6
47,229.72912502288818,714.7293748799,225.42659953119124,5.572793252478436e6
48,234.66826605796814,711.5518953706213,222.77307577220054,5.572787945430918e6
49,239.52495002746582,709.0253949530862,226.55732399531618,5.572795513927365e6
50,244.38396000862122,713.3190190427247,222.66339729991338,5.572787726073974e6
