Epoch,Time (s),Train Loss,Test Loss,BIC
1,6.582628965377808,2428.974127797389,393.27825112472567,786.5565022494513
2,13.132349967956543,811.4103438963932,275.69071192664205,551.3814238532841
3,19.76083493232727,732.632741395477,221.85705419648295,443.7141083929659
4,26.307749032974243,728.0217603271105,233.86392742520425,467.7278548504085
5,32.93648386001587,724.5134589737777,232.4799616063637,464.9599232127274
6,39.48165988922119,721.6279532958498,223.22945374208786,446.4589074841757
7,46.107197999954224,739.5738837798845,223.42131195628886,446.8426239125777
8,52.65515494346619,723.6287018773099,224.85325329292397,449.70650658584793
9,59.20715403556824,723.4363002523519,233.64721627995579,467.29443255991157
10,65.8365969657898,729.470673596366,222.56170674571035,445.1234134914207
11,72.40490293502808,738.6949164185183,223.51919973485832,447.03839946971664
12,79.0495879650116,723.8766383686846,223.7307553478779,447.4615106957558
13,85.63509893417358,726.0643533249278,243.50828993842458,487.01657987684916
14,92.2751669883728,744.0514548828517,224.19301518216272,448.38603036432545
15,98.84201192855835,724.7232884447508,222.2371528296199,444.4743056592398
16,105.48465895652771,730.8648054263658,223.66701619217602,447.33403238435204
17,112.04470491409302,738.5974472356057,222.92984826544625,445.8596965308925
18,118.60721588134766,726.3041385627945,234.21203767583205,468.4240753516641
19,125.23723006248474,739.5960756113708,227.23208269857466,454.4641653971493
20,131.80312991142273,739.043899108006,228.87130614857742,457.74261229715484
21,138.44006204605103,724.2190230549769,225.09496361690546,450.1899272338109
22,145.0207769870758,738.6437490034136,231.78779243216263,463.57558486432526
23,151.67871689796448,729.511821103177,221.65509943009792,443.31019886019584
24,158.2576780319214,729.7978714252806,220.8514622490733,441.7029244981466
25,164.827378988266,718.3625171283506,221.54450475083465,443.0890095016693
26,171.46595406532288,721.5874528902426,224.09539680482627,448.19079360965253
27,178.03006291389465,737.8223008582895,225.06921780132592,450.13843560265184
28,184.67541790008545,719.3038738800668,222.73711212939105,445.4742242587821
29,191.2383999824524,721.3161663571709,226.69195235165463,453.38390470330927
30,197.80896091461182,729.1209380119467,237.0573661405673,474.1147322811346
31,204.44459104537964,725.631695160857,232.0411139094497,464.0822278188994
32,211.02373600006104,732.3751174885014,228.27805863791798,456.55611727583596
33,217.66777896881104,727.6847464403501,222.8624980879434,445.7249961758868
34,224.22477102279663,741.5757443867996,245.86032352354638,491.72064704709277
35,230.7929768562317,723.1627107760827,223.35571160946958,446.71142321893916
36,237.43964385986328,725.5185272339212,222.79996529804623,445.59993059609246
37,243.9979329109192,720.723137144836,223.0299833936132,446.0599667872264
38,250.58394193649292,721.2895638892088,228.36669714874773,456.73339429749547
39,257.2484219074249,718.0224297442464,222.70889865531123,445.41779731062246
40,263.83894300460815,728.405041806212,229.7323242535458,459.4646485070916
41,270.5137069225311,719.4740845181323,222.93971480811544,445.8794296162309
42,277.1107180118561,724.2353488821574,228.21829564378416,456.4365912875683
43,283.70027208328247,718.2206908702431,227.91308660270116,455.8261732054023
44,290.3721499443054,721.0276096385536,224.2758258774482,448.5516517548964
45,296.9682319164276,717.4438915142414,223.2920186505175,446.584037301035
46,303.5745370388031,719.235704661807,222.61960632410407,445.23921264820814
47,310.25361490249634,723.4911235102956,222.62830195470502,445.25660390941005
48,316.84269285202026,720.3950182340019,225.8270549549787,451.6541099099574
49,323.44687700271606,733.3552330777168,223.88617512874063,447.77235025748126
50,330.1084270477295,722.5124382186369,223.65661797590178,447.31323595180356
