Epoch,Time (s),Train Loss,Test Loss,BIC
1,86.29071998596191,30035.962280273438,NaN,NaN
2,116.54968094825745,11097.165710449219,NaN,NaN
3,147.04504299163818,3594.6662521362305,Inf,Inf
4,177.08671689033508,1110.8535079956055,1.22898624e10,2.457984156172772e10
5,207.15717387199402,272.3961715698242,474574.689453125,1.0659111066250952e6
6,237.26361203193665,114.60662698745728,198.80856132507324,117159.34484149533
7,266.859130859375,111.22138738632202,275.90257358551025,117313.5328660162
8,297.14578890800476,88.55622673034668,Inf,Inf
